tweet_text,sentiment,subjectivity,sentiment_word,subjectivity_word
@Gujrat_titans_ Shera akela hi aata hai  Or kafi bhi hota hai  Aapko to pata chal hi Gaya hoga 😁,0.0,0.0,neutral,objective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
@Gujrat_titans_ But GT MI fix match  No single over by Hardik No contribution in runs by hardik Worst captaincy by hardik,-0.48214285714285715,0.6071428571428571,negative,subjective
RT @Delldiamond4: Gujrat Titans For The Win Today.  @munawar0018   Let's Go For It Khaan Saab .  Guess The No. Of Wickets he Is Going to Ta…,0.8,0.4,positive,objective
RT @Mufaddal_V0hra: Predict the score of Rohit Sharma VS Gujrat titans today the correct one's will get ₹3000. #MIvsGT  Note:- Must follow…,0.0,0.0,neutral,objective
RT @JiyaulHak_: @Gujrat_titans_ @rashidkhan_19 आपने तो आज कमाल कर दिया पहले बॉलिंग करते हुए 4 विकेट फिर बल्लेबाजी में 32 बॉल पर 79 रन जिस…,0.0,0.0,neutral,objective
IPL 2023 MI vs GT: মধুৰ প্ৰতিশোধ! নিশাৰ মুম্বাইত সূৰ্যৰ উত্তাপত ম্লান পৰিল গুজৰাট টাইটান; দুৰ্দান্ত ৰছিদৰ চমক…  https://t.co/InbvW8oSPz,0.0,0.0,neutral,objective
RT @Delldiamond4: Gujrat Titans For The Win Today.  @munawar0018   Let's Go For It Khaan Saab .  Guess The No. Of Wickets he Is Going to Ta…,0.8,0.4,positive,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
RT @ashaa_45: Mumbai Indians defeated Gujrat Titans ❤️ Well done @mipaltan https://t.co/ixU0H92suw,0.0,0.0,neutral,objective
